Date,DeptID,ProductionCost,Revenue
2024-01-01,1,98568.51,134386.51
2024-01-01,2,112492.09,173483.18
2024-01-01,3,77779.2,91812.12
2024-01-01,4,83575.73,112861.77
2024-01-01,5,100531.9,145750.25
2024-01-01,6,57767.67,0.0
2024-01-02,1,124666.76,162082.84
2024-01-02,2,109745.27,135061.46
2024-01-02,3,83522.1,109062.08
2024-01-02,4,83570.16,112169.82
2024-01-02,5,99185.98,132026.72
2024-01-02,6,58623.13,0.0
2024-01-03,1,114501.48,161360.92
2024-01-03,2,108229.61,133121.61
2024-01-03,3,93596.71,135109.44
2024-01-03,4,58851.23,80201.98
2024-01-03,5,94702.04,126002.51
2024-01-03,6,50556.73,0.0
2024-01-04,1,122974.44,153086.68
2024-01-04,2,98799.75,134444.83
2024-01-04,3,97137.7,124604.77
2024-01-04,4,80851.91,116960.97
2024-01-04,5,101359.5,139763.93
2024-01-04,6,64596.03,0.0
2024-01-05,1,100125.09,116999.76
2024-01-05,2,64996.12,113906.43
2024-01-05,3,61437.07,82553.17
2024-01-05,4,54267.57,79440.62
2024-01-05,5,86908.7,126632.34
2024-01-05,6,52529.42,0.0
2024-01-06,1,102562.68,135827.2
2024-01-06,2,92812.89,133865.12
2024-01-06,3,100048.57,140722.09
2024-01-06,4,93732.5,132259.12
2024-01-06,5,93170.64,117710.59
2024-01-06,6,54992.96,0.0
2024-01-07,1,39156.27,53578.2
2024-01-07,2,27333.01,40422.19
2024-01-07,3,26156.08,34871.31
2024-01-07,4,22952.86,36330.79
2024-01-07,5,26188.36,35118.55
2024-01-07,6,17693.67,0.0
2024-01-08,1,100752.57,135482.02
2024-01-08,2,114860.96,146911.42
2024-01-08,3,101184.35,125140.52
2024-01-08,4,82938.09,118962.15
2024-01-08,5,99953.88,125945.79
2024-01-08,6,56058.23,0.0
2024-01-09,1,102997.53,134549.86
2024-01-09,2,116845.01,157034.71
2024-01-09,3,96230.83,129317.93
2024-01-09,4,88432.0,117321.88
2024-01-09,5,90656.64,128034.78
2024-01-09,6,59346.88,0.0
2024-01-10,1,97816.95,135449.85
2024-01-10,2,97450.16,118788.54
2024-01-10,3,105130.03,137169.35
2024-01-10,4,83957.17,119568.75
2024-01-10,5,79738.78,109940.83
2024-01-10,6,56978.65,0.0
2024-01-11,1,117627.6,158842.88
2024-01-11,2,109958.34,150811.84
2024-01-11,3,96441.52,116633.93
2024-01-11,4,67108.91,90491.41
2024-01-11,5,100281.65,142520.62
2024-01-11,6,54329.22,0.0
2024-01-12,1,88250.12,115833.56
2024-01-12,2,94842.52,118813.28
2024-01-12,3,81088.53,111103.89
2024-01-12,4,69175.18,111203.59
2024-01-12,5,62651.1,81773.74
2024-01-12,6,47813.94,0.0
2024-01-13,1,101287.04,143138.57
2024-01-13,2,89545.24,117062.12
2024-01-13,3,99291.72,129740.12
2024-01-13,4,66931.48,78585.28
2024-01-13,5,77880.59,108125.83
2024-01-13,6,53568.17,0.0
2024-01-14,1,39249.21,51790.84
2024-01-14,2,42725.28,55100.27
2024-01-14,3,28651.18,36296.11
2024-01-14,4,30924.99,42554.38
2024-01-14,5,32678.05,47517.25
2024-01-14,6,21032.66,0.0
2024-01-15,1,102235.21,135475.21
2024-01-15,2,91831.53,134443.98
2024-01-15,3,84099.86,138014.26
2024-01-15,4,83128.78,126207.01
2024-01-15,5,73196.69,97381.91
2024-01-15,6,61446.08,0.0
2024-01-16,1,95572.19,139070.7
2024-01-16,2,111265.32,144085.59
2024-01-16,3,104019.15,128593.94
2024-01-16,4,85940.47,120268.3
2024-01-16,5,76590.14,108532.03
2024-01-16,6,54758.38,0.0
2024-01-17,1,101776.63,111634.66
2024-01-17,2,94898.35,132609.86
2024-01-17,3,103547.62,139544.14
2024-01-17,4,64007.1,83727.52
2024-01-17,5,98358.23,141916.59
2024-01-17,6,61431.23,0.0
2024-01-18,1,118399.53,169034.46
2024-01-18,2,110335.92,148500.54
2024-01-18,3,105375.52,141565.65
2024-01-18,4,79641.11,101130.01
2024-01-18,5,95075.73,124434.41
2024-01-18,6,59623.37,0.0
2024-01-19,1,90796.78,118310.76
2024-01-19,2,92601.02,117089.74
2024-01-19,3,61702.39,84646.12
2024-01-19,4,78576.63,104584.83
2024-01-19,5,87121.59,109127.34
2024-01-19,6,47534.78,0.0
2024-01-20,1,104590.68,160503.22
2024-01-20,2,97865.97,138747.6
2024-01-20,3,96986.8,142283.79
2024-01-20,4,82325.37,122847.4
2024-01-20,5,71800.36,94917.69
2024-01-20,6,57513.16,0.0
2024-01-21,1,41944.36,56591.1
2024-01-21,2,35705.97,48792.28
2024-01-21,3,35601.83,40964.41
2024-01-21,4,28795.03,40000.15
2024-01-21,5,25599.56,35433.93
2024-01-21,6,23083.16,0.0
2024-01-22,1,109166.74,144093.25
2024-01-22,2,84569.53,115114.54
2024-01-22,3,88155.8,131278.29
2024-01-22,4,90930.66,117635.36
2024-01-22,5,98858.71,124934.13
2024-01-22,6,54379.66,0.0
2024-01-23,1,103272.61,135568.63
2024-01-23,2,74271.57,121900.34
2024-01-23,3,95026.28,113852.06
2024-01-23,4,87306.09,122191.89
2024-01-23,5,75391.24,97499.13
2024-01-23,6,54716.92,0.0
2024-01-24,1,115890.0,179774.04
2024-01-24,2,120966.81,149941.91
2024-01-24,3,84980.71,136654.91
2024-01-24,4,85394.11,117324.07
2024-01-24,5,82626.75,112547.74
2024-01-24,6,66207.29,0.0
2024-01-25,1,101240.16,138676.73
2024-01-25,2,92551.86,138486.92
2024-01-25,3,101073.3,137035.9
2024-01-25,4,83754.02,121943.62
2024-01-25,5,77674.5,105104.34
2024-01-25,6,55527.62,0.0
2024-01-26,1,99964.7,139686.33
2024-01-26,2,70939.73,100627.94
2024-01-26,3,73792.45,108135.78
2024-01-26,4,72637.41,102587.24
2024-01-26,5,73591.25,107328.28
2024-01-26,6,46599.04,0.0
2024-01-27,1,115650.06,157775.14
2024-01-27,2,104741.2,169443.96
2024-01-27,3,71931.51,97841.96
2024-01-27,4,93351.77,129996.7
2024-01-27,5,98398.26,127655.67
2024-01-27,6,61702.72,0.0
2024-01-28,1,41575.16,55066.73
2024-01-28,2,33077.7,41978.67
2024-01-28,3,27843.62,36816.14
2024-01-28,4,32148.65,44520.88
2024-01-28,5,28094.35,35784.68
2024-01-28,6,17496.58,0.0
2024-01-29,1,114766.07,162538.26
2024-01-29,2,92026.95,129393.39
2024-01-29,3,82089.71,94053.82
2024-01-29,4,79852.53,117578.5
2024-01-29,5,86354.14,123901.29
2024-01-29,6,54995.78,0.0
2024-01-30,1,122957.97,152277.26
2024-01-30,2,95935.06,142118.56
2024-01-30,3,91475.92,127369.02
2024-01-30,4,87254.09,114482.37
2024-01-30,5,67788.84,109724.65
2024-01-30,6,55087.32,0.0
2024-01-31,1,118541.75,164203.28
2024-01-31,2,95185.99,137185.93
2024-01-31,3,104234.33,141205.89
2024-01-31,4,88939.55,123920.26
2024-01-31,5,85817.9,133687.47
2024-01-31,6,51861.47,0.0
2024-02-01,1,93358.62,126176.29
2024-02-01,2,103123.76,132743.64
2024-02-01,3,105006.29,131775.56
2024-02-01,4,81805.84,118817.73
2024-02-01,5,67317.87,110177.84
2024-02-01,6,54029.47,0.0
2024-02-02,1,81367.39,117916.56
2024-02-02,2,97287.84,141712.5
2024-02-02,3,81884.98,111428.14
2024-02-02,4,70515.29,103198.19
2024-02-02,5,76994.15,100566.61
2024-02-02,6,52271.1,0.0
2024-02-03,1,99715.67,149448.34
2024-02-03,2,113102.84,145523.95
2024-02-03,3,99152.74,127948.09
2024-02-03,4,90785.57,120425.06
2024-02-03,5,77024.41,105956.34
2024-02-03,6,50313.15,0.0
2024-02-04,1,38627.94,53573.61
2024-02-04,2,37850.33,49613.73
2024-02-04,3,34347.25,45105.0
2024-02-04,4,30294.17,40317.39
2024-02-04,5,25046.52,35113.25
2024-02-04,6,20920.42,0.0
2024-02-05,1,98875.12,132558.67
2024-02-05,2,119252.13,138096.35
2024-02-05,3,80143.69,110760.76
2024-02-05,4,80317.67,105987.74
2024-02-05,5,78886.64,116636.32
2024-02-05,6,49240.8,0.0
2024-02-06,1,121425.54,131820.02
2024-02-06,2,92442.37,142579.97
2024-02-06,3,93680.43,130730.14
2024-02-06,4,88266.65,120193.62
2024-02-06,5,88143.78,125477.06
2024-02-06,6,64754.96,0.0
2024-02-07,1,102906.72,127684.33
2024-02-07,2,87993.13,118079.14
2024-02-07,3,94113.71,127507.31
2024-02-07,4,86445.75,122690.02
2024-02-07,5,96830.4,129718.3
2024-02-07,6,58118.07,0.0
2024-02-08,1,96815.33,144017.12
2024-02-08,2,98094.36,145083.96
2024-02-08,3,99260.7,124272.6
2024-02-08,4,83282.73,113392.24
2024-02-08,5,95384.01,125380.87
2024-02-08,6,55180.1,0.0
2024-02-09,1,84931.77,117328.1
2024-02-09,2,97460.97,121596.17
2024-02-09,3,89011.67,118151.88
2024-02-09,4,58158.42,78181.13
2024-02-09,5,83734.29,99249.97
2024-02-09,6,51670.82,0.0
2024-02-10,1,97978.43,136393.71
2024-02-10,2,83329.55,118862.81
2024-02-10,3,77471.58,97072.97
2024-02-10,4,91617.65,114041.0
2024-02-10,5,97148.06,122584.24
2024-02-10,6,55603.56,0.0
2024-02-11,1,42205.62,66650.03
2024-02-11,2,43011.18,55084.06
2024-02-11,3,27474.24,36969.17
2024-02-11,4,27329.31,43882.22
2024-02-11,5,26803.04,36227.54
2024-02-11,6,20609.65,0.0
2024-02-12,1,106719.14,147210.78
2024-02-12,2,85149.65,114227.2
2024-02-12,3,77120.8,97916.74
2024-02-12,4,76864.59,115257.27
2024-02-12,5,86033.29,132976.01
2024-02-12,6,57899.53,0.0
2024-02-13,1,110889.04,152117.0
2024-02-13,2,119555.33,151655.61
2024-02-13,3,100681.57,126154.13
2024-02-13,4,81717.45,117159.71
2024-02-13,5,93820.6,133038.07
2024-02-13,6,53439.55,0.0
2024-02-14,1,118577.52,149819.4
2024-02-14,2,132489.06,144676.1
2024-02-14,3,97856.59,119219.03
2024-02-14,4,79576.61,112290.21
2024-02-14,5,92098.71,117085.99
2024-02-14,6,63299.02,0.0
2024-02-15,1,113761.77,151954.46
2024-02-15,2,91601.64,111383.85
2024-02-15,3,73333.92,111482.66
2024-02-15,4,81925.27,116066.31
2024-02-15,5,99795.62,132572.91
2024-02-15,6,67416.37,0.0
2024-02-16,1,81676.15,115373.52
2024-02-16,2,77505.65,114281.17
2024-02-16,3,66192.31,86422.94
2024-02-16,4,72137.96,105241.21
2024-02-16,5,71285.58,95241.37
2024-02-16,6,52866.96,0.0
2024-02-17,1,95113.17,120267.53
2024-02-17,2,94689.02,135382.29
2024-02-17,3,75649.66,87783.47
2024-02-17,4,91600.85,115887.74
2024-02-17,5,89652.93,140662.29
2024-02-17,6,61879.77,0.0
2024-02-18,1,31698.68,45418.9
2024-02-18,2,38370.65,49244.71
2024-02-18,3,30805.65,42959.64
2024-02-18,4,33294.04,45939.67
2024-02-18,5,33080.12,46738.84
2024-02-18,6,22563.62,0.0
2024-02-19,1,117750.77,131199.36
2024-02-19,2,119856.35,163568.85
2024-02-19,3,82808.51,101696.3
2024-02-19,4,74721.88,106475.32
2024-02-19,5,93868.97,120473.25
2024-02-19,6,61379.53,0.0
2024-02-20,1,112435.89,170048.23
2024-02-20,2,104967.4,144504.11
2024-02-20,3,99115.89,131495.54
