DefectID,ProdID,MachineID,DeptID,Date,DefectQty,DefectType
DF000001,PR000001,MC007,1,2024-01-01,4,Fabric Tear
DF000002,PR000002,MC008,1,2024-01-01,12,Weaving Fault
DF000003,PR000003,MC003,1,2024-01-01,4,Weaving Fault
DF000004,PR000004,MC006,1,2024-01-01,2,Fabric Tear
DF000005,PR000005,MC004,1,2024-01-01,6,Colour Mismatch
DF000006,PR000006,MC001,1,2024-01-01,4,Weaving Fault
DF000007,PR000007,MC013,2,2024-01-01,4,Weaving Fault
DF000008,PR000008,MC015,2,2024-01-01,2,Stain/Spot
DF000009,PR000009,MC010,2,2024-01-01,4,Stitching Error
DF000010,PR000010,MC009,2,2024-01-01,2,Stain/Spot
DF000011,PR000011,MC014,2,2024-01-01,5,Colour Mismatch
DF000012,PR000012,MC012,2,2024-01-01,6,Stain/Spot
DF000013,PR000013,MC016,2,2024-01-01,2,Stitching Error
DF000014,PR000014,MC018,2,2024-01-01,1,Stitching Error
DF000015,PR000015,MC011,2,2024-01-01,9,Stitching Error
DF000016,PR000016,MC019,3,2024-01-01,11,Size Variance
DF000017,PR000017,MC021,3,2024-01-01,22,Weaving Fault
DF000018,PR000018,MC020,3,2024-01-01,6,Weaving Fault
DF000019,PR000019,MC023,3,2024-01-01,12,Fabric Tear
DF000020,PR000020,MC027,4,2024-01-01,10,Size Variance
DF000021,PR000021,MC029,4,2024-01-01,4,Fabric Tear
DF000022,PR000022,MC026,4,2024-01-01,3,Colour Mismatch
DF000023,PR000023,MC025,4,2024-01-01,2,Stitching Error
DF000024,PR000024,MC033,5,2024-01-01,3,Stitching Error
DF000025,PR000025,MC035,5,2024-01-01,2,Fabric Tear
DF000026,PR000026,MC032,5,2024-01-01,6,Stain/Spot
DF000027,PR000027,MC031,5,2024-01-01,2,Stain/Spot
DF000028,PR000028,MC034,5,2024-01-01,2,Colour Mismatch
DF000029,PR000029,MC038,6,2024-01-01,3,Size Variance
DF000030,PR000030,MC037,6,2024-01-01,4,Size Variance
DF000031,PR000031,MC039,6,2024-01-01,3,Stitching Error
DF000032,PR000032,MC004,1,2024-01-02,7,Stitching Error
DF000033,PR000033,MC008,1,2024-01-02,7,Fabric Tear
DF000034,PR000034,MC001,1,2024-01-02,3,Size Variance
DF000035,PR000035,MC006,1,2024-01-02,3,Colour Mismatch
DF000036,PR000036,MC007,1,2024-01-02,4,Stitching Error
DF000037,PR000037,MC003,1,2024-01-02,6,Stain/Spot
DF000038,PR000038,MC002,1,2024-01-02,5,Colour Mismatch
DF000039,PR000039,MC015,2,2024-01-02,5,Size Variance
DF000040,PR000040,MC016,2,2024-01-02,2,Weaving Fault
DF000041,PR000041,MC012,2,2024-01-02,5,Stain/Spot
DF000042,PR000042,MC014,2,2024-01-02,3,Colour Mismatch
DF000043,PR000043,MC013,2,2024-01-02,3,Colour Mismatch
DF000044,PR000044,MC009,2,2024-01-02,5,Colour Mismatch
DF000045,PR000045,MC011,2,2024-01-02,13,Colour Mismatch
DF000046,PR000046,MC010,2,2024-01-02,5,Size Variance
DF000047,PR000047,MC019,3,2024-01-02,9,Size Variance
DF000048,PR000048,MC022,3,2024-01-02,8,Stain/Spot
DF000049,PR000049,MC021,3,2024-01-02,32,Fabric Tear
DF000050,PR000050,MC024,3,2024-01-02,8,Stitching Error
DF000051,PR000051,MC025,4,2024-01-02,4,Weaving Fault
DF000052,PR000052,MC029,4,2024-01-02,2,Weaving Fault
DF000053,PR000053,MC026,4,2024-01-02,4,Fabric Tear
DF000054,PR000054,MC028,4,2024-01-02,5,Colour Mismatch
DF000055,PR000055,MC034,5,2024-01-02,2,Size Variance
DF000056,PR000056,MC031,5,2024-01-02,2,Stain/Spot
DF000057,PR000057,MC030,5,2024-01-02,3,Fabric Tear
DF000058,PR000058,MC035,5,2024-01-02,2,Size Variance
DF000059,PR000059,MC033,5,2024-01-02,2,Size Variance
DF000060,PR000060,MC036,6,2024-01-02,5,Fabric Tear
DF000061,PR000061,MC037,6,2024-01-02,2,Weaving Fault
DF000062,PR000062,MC038,6,2024-01-02,4,Size Variance
DF000063,PR000063,MC004,1,2024-01-03,5,Size Variance
DF000064,PR000064,MC007,1,2024-01-03,5,Fabric Tear
DF000065,PR000065,MC001,1,2024-01-03,5,Fabric Tear
DF000066,PR000066,MC003,1,2024-01-03,4,Size Variance
DF000067,PR000067,MC008,1,2024-01-03,11,Fabric Tear
DF000068,PR000068,MC005,1,2024-01-03,2,Fabric Tear
DF000069,PR000069,MC002,1,2024-01-03,3,Stain/Spot
