OrderID,Client,DeptID,OrderDate,DueDate,QuantityOrdered,Status
ORD0001,Zara Sourcing Order,6,2025-03-16,2025-04-20,3374,Delayed
ORD0002,Next PLC Order,2,2024-06-26,2024-07-08,5034,Completed
ORD0003,Decathlon Order,6,2024-05-07,2024-05-28,1779,Completed
ORD0004,Zara Sourcing Order,6,2025-06-28,2025-08-08,4306,Delayed
ORD0005,Local Wholesale - Lahore,1,2025-08-24,2025-09-24,2074,Completed
ORD0006,H&M Sourcing Order,4,2024-06-28,2024-08-12,3182,Cancelled
ORD0007,Decathlon Order,1,2024-06-11,2024-07-14,5202,Completed
ORD0008,Decathlon Order,2,2024-03-27,2024-05-10,5855,Completed
ORD0009,Decathlon Order,6,2025-02-11,2025-03-20,3474,Completed
ORD0010,Decathlon Order,6,2025-10-28,2025-11-26,695,Completed
ORD0011,Interloop B2B Order,6,2024-06-18,2024-07-14,1742,Delayed
ORD0012,Al-Karam Textiles Buyer,2,2024-07-02,2024-08-13,562,Cancelled
ORD0013,Next PLC Order,3,2025-02-10,2025-02-22,2704,Completed
ORD0014,Al-Karam Textiles Buyer,2,2024-11-02,2024-12-04,618,Completed
ORD0015,Zara Sourcing Order,2,2024-07-26,2024-08-24,4908,In Progress
ORD0016,Nishat Exports Client,1,2024-11-18,2024-12-20,5597,Delayed
ORD0017,Al-Karam Textiles Buyer,1,2025-03-15,2025-04-01,3659,Completed
ORD0018,Interloop B2B Order,4,2025-10-08,2025-11-12,5361,Completed
ORD0019,H&M Sourcing Order,6,2025-11-19,2025-12-18,1110,Delayed
ORD0020,Local Wholesale - Lahore,5,2024-08-27,2024-09-06,3177,In Progress
ORD0021,Zara Sourcing Order,3,2024-10-12,2024-11-09,786,Completed
ORD0022,Nishat Exports Client,1,2025-03-02,2025-04-02,4888,Delayed
ORD0023,Interloop B2B Order,5,2025-04-17,2025-05-23,3310,In Progress
ORD0024,H&M Sourcing Order,4,2025-01-18,2025-01-28,5926,Completed
ORD0025,Interloop B2B Order,2,2025-05-22,2025-06-27,4377,Completed
ORD0026,Nishat Exports Client,6,2025-04-04,2025-04-27,1341,Completed
ORD0027,Al-Karam Textiles Buyer,5,2024-07-14,2024-08-27,3901,Completed
ORD0028,H&M Sourcing Order,2,2024-02-19,2024-03-31,944,Completed
ORD0029,Local Wholesale - Lahore,3,2024-07-16,2024-08-14,2303,Completed
ORD0030,Zara Sourcing Order,3,2025-07-02,2025-07-13,5941,Delayed
ORD0031,H&M Sourcing Order,2,2024-07-09,2024-08-03,5395,Completed
ORD0032,Local Wholesale - Lahore,1,2024-08-06,2024-08-21,3665,Completed
ORD0033,Gul Ahmed Retail,2,2024-10-27,2024-11-24,2532,Completed
ORD0034,Decathlon Order,4,2025-04-29,2025-05-13,4081,Completed
ORD0035,H&M Sourcing Order,6,2024-07-13,2024-08-10,3554,Completed
ORD0036,Gul Ahmed Retail,2,2024-09-23,2024-11-02,2043,Completed
ORD0037,H&M Sourcing Order,1,2024-10-14,2024-11-14,4999,Delayed
ORD0038,Local Wholesale - Lahore,1,2025-10-22,2025-11-01,5572,In Progress
ORD0039,Decathlon Order,5,2024-02-03,2024-03-13,5060,Completed
ORD0040,Next PLC Order,4,2024-11-25,2024-12-20,4557,Delayed
ORD0041,Interloop B2B Order,5,2025-10-09,2025-11-12,4152,Cancelled
ORD0042,Local Wholesale - Faisalabad,3,2024-08-14,2024-08-24,1338,Completed
ORD0043,Local Wholesale - Lahore,2,2025-11-14,2025-12-08,5078,Completed
ORD0044,Decathlon Order,1,2025-05-23,2025-06-12,2236,Completed
ORD0045,Local Wholesale - Faisalabad,2,2025-09-22,2025-10-14,5557,Delayed
ORD0046,Local Wholesale - Lahore,5,2025-06-09,2025-06-30,710,Completed
ORD0047,Gul Ahmed Retail,5,2024-12-18,2025-01-25,1504,Completed
ORD0048,Local Wholesale - Lahore,3,2025-08-12,2025-09-20,2657,Completed
ORD0049,Decathlon Order,1,2024-06-26,2024-07-08,5884,Completed
ORD0050,H&M Sourcing Order,6,2024-11-26,2024-12-10,4644,Completed
ORD0051,Local Wholesale - Lahore,1,2024-07-12,2024-08-05,5694,Completed
ORD0052,Gul Ahmed Retail,6,2025-11-02,2025-11-17,2368,Completed
ORD0053,Local Wholesale - Lahore,3,2024-06-25,2024-07-16,846,Completed
ORD0054,Decathlon Order,4,2025-10-08,2025-11-01,2097,Delayed
ORD0055,Zara Sourcing Order,5,2025-10-29,2025-11-14,5832,Delayed
ORD0056,Local Wholesale - Faisalabad,6,2024-09-08,2024-10-23,3424,Completed
ORD0057,Interloop B2B Order,1,2025-09-02,2025-09-18,5786,Completed
ORD0058,Zara Sourcing Order,5,2024-11-05,2024-11-21,2134,Delayed
ORD0059,Decathlon Order,6,2025-11-21,2025-12-21,548,Completed
ORD0060,Al-Karam Textiles Buyer,5,2025-03-29,2025-05-05,1570,Completed
ORD0061,H&M Sourcing Order,3,2025-12-24,2026-01-26,5516,Completed
ORD0062,Next PLC Order,2,2025-12-05,2026-01-13,3758,Delayed
ORD0063,Local Wholesale - Lahore,2,2025-07-06,2025-08-10,5119,Completed
ORD0064,Decathlon Order,1,2024-07-21,2024-08-12,3433,Completed
ORD0065,Interloop B2B Order,2,2025-05-27,2025-06-21,2419,Completed
ORD0066,H&M Sourcing Order,1,2025-06-23,2025-07-07,1367,Completed
ORD0067,Local Wholesale - Faisalabad,2,2024-08-01,2024-08-23,1754,Completed
ORD0068,Local Wholesale - Faisalabad,6,2024-07-18,2024-08-13,5913,Completed
ORD0069,H&M Sourcing Order,5,2025-09-03,2025-09-18,576,Completed
ORD0070,Next PLC Order,5,2025-07-29,2025-08-11,3295,Completed
ORD0071,Interloop B2B Order,1,2025-04-19,2025-05-12,1112,Completed
ORD0072,H&M Sourcing Order,5,2025-10-31,2025-11-29,5561,Completed
ORD0073,H&M Sourcing Order,5,2024-11-03,2024-11-21,1673,Completed
ORD0074,Gul Ahmed Retail,6,2025-10-24,2025-11-09,3887,In Progress
ORD0075,Nishat Exports Client,3,2024-04-10,2024-05-21,2995,Completed
ORD0076,Nishat Exports Client,5,2025-02-22,2025-03-07,773,Completed
ORD0077,Interloop B2B Order,1,2025-03-25,2025-04-28,5067,Completed
ORD0078,Local Wholesale - Lahore,5,2024-12-28,2025-01-30,970,Completed
ORD0079,Interloop B2B Order,6,2025-09-21,2025-11-01,5469,Completed
ORD0080,H&M Sourcing Order,5,2024-06-25,2024-08-07,1185,Completed
ORD0081,Zara Sourcing Order,6,2024-02-24,2024-04-08,2743,In Progress
ORD0082,H&M Sourcing Order,3,2024-02-28,2024-03-31,1508,Completed
ORD0083,Al-Karam Textiles Buyer,2,2024-06-26,2024-07-16,664,Completed
ORD0084,Interloop B2B Order,6,2025-07-10,2025-07-29,3597,Completed
ORD0085,Local Wholesale - Lahore,4,2025-02-06,2025-02-17,3547,Completed
ORD0086,Interloop B2B Order,5,2024-05-30,2024-07-01,1491,Cancelled
ORD0087,Next PLC Order,6,2024-03-01,2024-04-04,3663,Completed
ORD0088,Nishat Exports Client,3,2025-04-29,2025-05-29,4074,Completed
ORD0089,Al-Karam Textiles Buyer,6,2025-12-18,2026-01-27,4357,Delayed
ORD0090,Nishat Exports Client,3,2025-02-11,2025-03-03,716,Completed
ORD0091,Al-Karam Textiles Buyer,1,2025-10-22,2025-11-24,765,Completed
ORD0092,Interloop B2B Order,3,2024-04-05,2024-05-09,2983,Completed
ORD0093,Nishat Exports Client,3,2025-06-23,2025-07-14,1791,In Progress
ORD0094,Decathlon Order,1,2024-08-22,2024-10-04,1842,Completed
ORD0095,Decathlon Order,5,2024-08-20,2024-09-24,3375,Completed
ORD0096,Local Wholesale - Faisalabad,6,2024-11-05,2024-11-15,4527,Delayed
ORD0097,Gul Ahmed Retail,6,2025-06-07,2025-07-22,5026,Completed
ORD0098,H&M Sourcing Order,3,2024-09-09,2024-10-02,5248,Delayed
ORD0099,Al-Karam Textiles Buyer,1,2025-05-05,2025-06-04,5028,In Progress
ORD0100,Local Wholesale - Faisalabad,6,2025-02-17,2025-03-24,1572,Delayed
ORD0101,Al-Karam Textiles Buyer,5,2024-04-06,2024-05-10,3374,Completed
ORD0102,Interloop B2B Order,1,2025-08-29,2025-09-24,5638,In Progress
ORD0103,H&M Sourcing Order,4,2024-04-21,2024-05-04,2514,Completed
ORD0104,Next PLC Order,3,2025-01-29,2025-02-23,3289,Completed
ORD0105,Decathlon Order,1,2024-11-30,2025-01-05,5966,In Progress
ORD0106,H&M Sourcing Order,2,2024-07-27,2024-08-24,2501,In Progress
ORD0107,Decathlon Order,4,2024-07-24,2024-08-23,2522,Completed
ORD0108,H&M Sourcing Order,3,2024-02-26,2024-03-24,1438,In Progress
ORD0109,Interloop B2B Order,4,2025-05-03,2025-05-21,4194,Completed
ORD0110,H&M Sourcing Order,3,2024-07-14,2024-08-02,747,In Progress
ORD0111,Gul Ahmed Retail,3,2025-02-21,2025-03-04,4377,Completed
ORD0112,Next PLC Order,1,2024-06-21,2024-08-02,3980,Delayed
ORD0113,Next PLC Order,3,2024-12-02,2025-01-04,3063,Completed
ORD0114,Gul Ahmed Retail,2,2024-08-13,2024-09-18,5327,Delayed
ORD0115,Zara Sourcing Order,3,2024-09-02,2024-09-24,4742,Delayed
ORD0116,Next PLC Order,1,2025-10-26,2025-12-02,2867,In Progress
ORD0117,Local Wholesale - Faisalabad,6,2024-11-10,2024-12-14,5152,In Progress
ORD0118,Al-Karam Textiles Buyer,3,2024-09-11,2024-09-24,929,In Progress
ORD0119,Nishat Exports Client,2,2024-05-14,2024-06-18,4069,Completed
ORD0120,Local Wholesale - Lahore,2,2024-10-08,2024-11-15,4995,Delayed
ORD0121,Interloop B2B Order,3,2025-03-20,2025-04-08,5406,Completed
ORD0122,Nishat Exports Client,3,2024-01-07,2024-02-14,1280,In Progress
ORD0123,Zara Sourcing Order,3,2025-08-30,2025-09-30,2350,Delayed
ORD0124,Interloop B2B Order,6,2024-03-26,2024-04-20,1681,In Progress
ORD0125,Nishat Exports Client,6,2025-08-16,2025-09-27,5064,Completed
ORD0126,Local Wholesale - Lahore,6,2025-08-21,2025-09-20,4444,Completed
