ProdID,Date,DeptID,MachineID,EmployeeID,QuantityProduced,TargetQuantity
PR000001,2024-01-01,1,MC007,EMP0030,199,181
PR000002,2024-01-01,1,MC008,EMP0025,175,181
PR000003,2024-01-01,1,MC003,EMP0025,164,181
PR000004,2024-01-01,1,MC006,EMP0107,175,181
PR000005,2024-01-01,1,MC004,EMP0151,189,181
PR000006,2024-01-01,1,MC001,EMP0102,166,181
PR000007,2024-01-01,2,MC013,EMP0036,120,120
PR000008,2024-01-01,2,MC015,EMP0074,113,120
PR000009,2024-01-01,2,MC010,EMP0178,120,120
PR000010,2024-01-01,2,MC009,EMP0004,118,120
PR000011,2024-01-01,2,MC014,EMP0079,130,120
PR000012,2024-01-01,2,MC012,EMP0148,111,120
PR000013,2024-01-01,2,MC016,EMP0146,115,120
PR000014,2024-01-01,2,MC018,EMP0009,111,120
PR000015,2024-01-01,2,MC011,EMP0009,125,120
PR000016,2024-01-01,3,MC019,EMP0013,141,158
PR000017,2024-01-01,3,MC021,EMP0069,130,158
PR000018,2024-01-01,3,MC020,EMP0055,125,158
PR000019,2024-01-01,3,MC023,EMP0134,136,158
PR000020,2024-01-01,4,MC027,EMP0174,240,200
PR000021,2024-01-01,4,MC029,EMP0153,224,200
PR000022,2024-01-01,4,MC026,EMP0002,220,200
PR000023,2024-01-01,4,MC025,EMP0019,181,200
PR000024,2024-01-01,5,MC033,EMP0056,137,142
PR000025,2024-01-01,5,MC035,EMP0056,136,142
PR000026,2024-01-01,5,MC032,EMP0164,154,142
PR000027,2024-01-01,5,MC031,EMP0060,134,142
PR000028,2024-01-01,5,MC034,EMP0164,132,142
PR000029,2024-01-01,6,MC038,EMP0120,288,325
PR000030,2024-01-01,6,MC037,EMP0053,323,325
PR000031,2024-01-01,6,MC039,EMP0085,315,325
PR000032,2024-01-02,1,MC004,EMP0044,174,181
PR000033,2024-01-02,1,MC008,EMP0030,170,181
PR000034,2024-01-02,1,MC001,EMP0072,158,181
PR000035,2024-01-02,1,MC006,EMP0025,171,181
PR000036,2024-01-02,1,MC007,EMP0030,196,181
PR000037,2024-01-02,1,MC003,EMP0126,177,181
PR000038,2024-01-02,1,MC002,EMP0112,196,181
PR000039,2024-01-02,2,MC015,EMP0047,118,120
PR000040,2024-01-02,2,MC016,EMP0047,113,120
PR000041,2024-01-02,2,MC012,EMP0045,121,120
PR000042,2024-01-02,2,MC014,EMP0045,119,120
PR000043,2024-01-02,2,MC013,EMP0083,113,120
PR000044,2024-01-02,2,MC009,EMP0035,112,120
PR000045,2024-01-02,2,MC011,EMP0042,129,120
PR000046,2024-01-02,2,MC010,EMP0048,120,120
PR000047,2024-01-02,3,MC019,EMP0122,150,158
PR000048,2024-01-02,3,MC022,EMP0039,142,158
PR000049,2024-01-02,3,MC021,EMP0180,177,158
PR000050,2024-01-02,3,MC024,EMP0136,146,158
PR000051,2024-01-02,4,MC025,EMP0108,195,200
PR000052,2024-01-02,4,MC029,EMP0011,217,200
PR000053,2024-01-02,4,MC026,EMP0049,218,200
PR000054,2024-01-02,4,MC028,EMP0011,234,200
PR000055,2024-01-02,5,MC034,EMP0086,152,142
PR000056,2024-01-02,5,MC031,EMP0060,130,142
PR000057,2024-01-02,5,MC030,EMP0003,145,142
PR000058,2024-01-02,5,MC035,EMP0145,120,142
PR000059,2024-01-02,5,MC033,EMP0150,134,142
PR000060,2024-01-02,6,MC036,EMP0065,308,325
PR000061,2024-01-02,6,MC037,EMP0085,315,325
PR000062,2024-01-02,6,MC038,EMP0046,342,325
PR000063,2024-01-03,1,MC004,EMP0052,174,181
PR000064,2024-01-03,1,MC007,EMP0088,182,181
PR000065,2024-01-03,1,MC001,EMP0057,188,181
PR000066,2024-01-03,1,MC003,EMP0126,166,181
PR000067,2024-01-03,1,MC008,EMP0119,168,181
PR000068,2024-01-03,1,MC005,EMP0107,160,181
PR000069,2024-01-03,1,MC002,EMP0104,176,181
PR000070,2024-01-03,2,MC017,EMP0128,97,120
PR000071,2024-01-03,2,MC010,EMP0079,108,120
PR000072,2024-01-03,2,MC011,EMP0051,110,120
PR000073,2024-01-03,2,MC012,EMP0113,104,120
PR000074,2024-01-03,2,MC014,EMP0079,112,120
PR000075,2024-01-03,2,MC016,EMP0004,112,120
PR000076,2024-01-03,2,MC015,EMP0123,115,120
PR000077,2024-01-03,2,MC018,EMP0077,113,120
PR000078,2024-01-03,3,MC019,EMP0013,163,158
